name,code,country,timezone,suffix,valid,East,Middle,West,price,IBKR,Fubon,test
BCBA,XBUE,Argentina,America/Argentina/Buenos_Aires,BA,,,,,,,,
ASX,XASX,Australia,Australia/Sydney,AX,v,v,,,v,v,,
CXA,CXAC,Australia,Australia/Sydney,XA,,,,,,v,,
VSE,XWBO,Austria,Europe/Vienna,VI,v,,v,,v,v,,
Euronext,XBRU,Belgium,Europe/Brussels,BR,v,,v,,v,v,,
BSE,XBOT,Botswana,Africa/Gaborone,,,,,,,,,
Bovespa,BVMF,Brazil,America/Paramaribo,SA,,,,,,,,
NEO,NEOE,Canada,America/Toronto,NE,v,,,v,v,v,,
TSXV,XTSX,Canada,America/Toronto,V,v,,,v,v,v,,
CSE,XCNQ,Canada,America/Toronto,CN,,,,,,,,
TSX,XTSE,Canada,America/Toronto,TO,v,,,v,v,v,,
BVS,XSGO,Chile,America/Santiago,SN,,,,,,,,
SZSE,XSHE,China,Asia/Shanghai,SZ,v,v,,,v,v,v,
SSE,XSHG,China,Asia/Shanghai,SS,v,v,,,v,v,v,
BVC,XBOG,Colombia,America/New_York,CL,,,,,,,,
PSE,XPRA,Czech Republic,Europe/Prague,PR,v,,v,,v,v,,
OMXC,XCSE,Denmark,Europe/Copenhagen,CO,v,,v,,v,v,,
DSME,DSME,Denmark,Europe/Copenhagen,CO,v,,v,,v,v,,
EGX,XCAI,Egypt,Africa/Cairo,CA,,,,,,,,
OMXT,XTAL,Estonia,Europe/Tallinn,TL,v,,v,,v,v,,
OMXH,XHEL,Finland,Europe/Helsinki,HE,v,,v,,v,v,,
Euronext,XPAR,France,Europe/Paris,PA,v,,v,,v,v,,
XDUS,XDUS,Germany,Europe/Berlin,DU,,,,,,,,
Munich,XMUN,Germany,Europe/Berlin,MU,,,,,,v,,
XBER,XBER,Germany,Europe/Berlin,BE,,,,,,,,
XSTU,XSTU,Germany,Europe/Berlin,SG,v,,v,,v,v,v,
XETR,XETR,Germany,Europe/Berlin,DE,v,,v,,v,v,v,
FSX,XFRA,Germany,Europe/Berlin,F,v,,v,,v,v,v,
XHAM,XHAM,Germany,Europe/Berlin,HM,,,,,,,,
XHAN,XHAN,Germany,Europe/Berlin,HA,,,,,,,,
ASE,ASEX,Greece,Europe/Athens,AT,v,,v,,v,v,v,
HKEX,XHKG,Hong Kong,Asia/Hong_Kong,HK,v,v,,,v,v,v,
BSE,XBUD,Hungary,Europe/Budapest,BD,v,,v,,v,v,,
ICEX,XICE,Iceland,Atlantic/Reykjavik,IC,,,,,,,,
BSE,XBOM,India,Asia/Kolkata,BO,,,,,,,,
NSE,XNSE,India,Asia/Kolkata,NS,,,,,,,,
IDX,XIDX,Indonesia,Asia/Jakarta,JK,,,,,,,,
XESM,XESM,Ireland,Europe/Dublin,IR,v,,v,,v,v,,
XMSM,XMSM,Ireland,Europe/Dublin,IR,v,,v,,v,v,,
ISE,XDUB,Ireland,Europe/Dublin,IR,v,,v,,v,v,,
TASE,XTAE,Israel,Asia/Jerusalem,TA,v,,v,,v,v,,
MTA,XMIL,Italy,Europe/Rome,MI|TI,v,,v,,v,v,,
JSE,XJAM,Jamaica,America/Jamaica,,,,,,,,,
XSAP,XSAP,Japan,Asia/Tokyo,T,,,,,,,,
JPX,XJPX,Japan,Asia/Tokyo,T,v,v,,,v,v,v,
XKUW,XKUW,Kuwait,Asia/Kuwait,KW,,,,,,,,
OMXR,XRIS,Latvia,Europe/Riga,RG,v,,v,,v,v,,
OMXV,XLIT,Lithuania,Europe/Vilnius,VS,v,,v,,v,v,,
MYX,XKLS,Malaysia,Asia/Kuala_Lumpur,KL,v,v,,,v,v,,
BMV,XMEX,Mexico,America/Swift_Current,MX,v,,,v,v,v,,
Euronext,XAMS,Netherlands,Europe/Amsterdam,AS,v,,v,,v,v,,
NZX,XNZE,New Zealand,Pacific/Auckland,NZ,,,,,,,,
OSE,XOSL,Norway,Europe/Oslo,OL,v,,v,,v,v,,
PSX,XKAR,Pakistan,Asia/Karachi,KA,,,,,,,,
BVL,XLIM,Peru,America/Lima,,,,,,,,,
PSE,XPHS,Philippines,Asia/Manila,PS,,,,,,,,
GPW,XWAR,Poland,Europe/Warsaw,WA,v,,v,,v,v,,
Euronext,XLIS,Portugal,Europe/Lisbon,LS,v,,v,,v,v,,
QE,DSMD,Qatar,Asia/Qatar,QA,,,,,,,,
BVB,XBSE,Romania,Europe/Bucharest,RO,,,,,,,,
MOEX,MISX,Russia,Europe/Moscow,ME,,,,,,,,
Tadawul,XSAU,Saudi Arabia,Asia/Riyadh,SR,v,,v,,v,v,,
SGX,XSES,Singapore,Asia/Singapore,SI,v,v,,,v,v,v,v
JSE,XJSE,South Africa,Africa/Johannesburg,JO,,,,,,,,
KONEX,XKON,South Korea,Asia/Seoul,KS,,,,,,,,
KRX,XKRX,South Korea,Asia/Seoul,KS,,,,,,,,
KOSDAQ,XKOS,South Korea,Asia/Seoul,KQ,,,,,,,,
BME,XMAD,Spain,Europe/Madrid,MC,v,,v,,v,v,,
OMX,XSTO,Sweden,Europe/Stockholm,ST,v,,v,,v,v,,
Spotlight Stock Market,XSAT,Sweden,Europe/Stockholm,ST,v,,v,,v,v,,
SSME,SSME,Sweden,Europe/Stockholm,ST,v,,v,,v,v,,
SIX,XSWX,Switzerland,Europe/Zurich,SW,v,,v,,v,v,,
TWSE,XTAI,Taiwan,Asia/Taipei,TW|TWO,v,v,,,v,v,v,
SET,XBKK,Thailand,Asia/Bangkok,BK,,,,,,,,
BIST,XIST,Turkey,Europe/Istanbul,IS,,,,,,,,
DFM,XDFM,United Arab Emirates,Asia/Dubai,AE,,,,,,,,
ADX,XADS,United Arab Emirates,Asia/Dubai,AE,,,,,,,,
LSE,XLON,United Kingdom,Europe/London,L|IL,v,,v,,v,v,v,
OTC,PSGM,United States,America/New_York,-,,,,,,,,
NASDAQ,XNCM,United States,America/New_York,-,v,,,v,v,v,v,
