attribute,avoided,count,symbol
address1,v,1,MSFT
city,,1,MSFT
state,v,1,MSFT
zip,v,1,MSFT
country,v,1,MSFT
phone,v,1,MSFT
website,,1,MSFT
industry,,1,MSFT
industryKey,v,1,MSFT
industryDisp,v,1,MSFT
sector,,1,MSFT
sectorKey,v,1,MSFT
sectorDisp,v,1,MSFT
longBusinessSummary,v,1,MSFT
fullTimeEmployees,,1,MSFT
companyOfficers,v,1,MSFT
auditRisk,,1,MSFT
boardRisk,,1,MSFT
compensationRisk,,1,MSFT
shareHolderRightsRisk,,1,MSFT
overallRisk,,1,MSFT
governanceEpochDate,,1,MSFT
compensationAsOfEpochDate,,1,MSFT
irWebsite,,1,MSFT
maxAge,v,1,MSFT
priceHint,,1,MSFT
previousClose,,1,MSFT
open,,1,MSFT
dayLow,,1,MSFT
dayHigh,,1,MSFT
regularMarketPreviousClose,v,1,MSFT
regularMarketOpen,v,1,MSFT
regularMarketDayLow,v,1,MSFT
regularMarketDayHigh,v,1,MSFT
dividendRate,,1,MSFT
dividendYield,,1,MSFT
exDividendDate,,1,MSFT
payoutRatio,,1,MSFT
fiveYearAvgDividendYield,,1,MSFT
beta,,1,MSFT
trailingPE,,1,MSFT
forwardPE,,1,MSFT
volume,,1,MSFT
regularMarketVolume,v,1,MSFT
averageVolume,,1,MSFT
averageVolume10days,,1,MSFT
averageDailyVolume10Day,v,1,MSFT
bid,,1,MSFT
ask,,1,MSFT
bidSize,,1,MSFT
askSize,,1,MSFT
marketCap,,1,MSFT
fiftyTwoWeekLow,,1,MSFT
fiftyTwoWeekHigh,,1,MSFT
priceToSalesTrailing12Months,,1,MSFT
fiftyDayAverage,,1,MSFT
twoHundredDayAverage,,1,MSFT
trailingAnnualDividendRate,,1,MSFT
trailingAnnualDividendYield,,1,MSFT
currency,v,1,MSFT
enterpriseValue,,1,MSFT
profitMargins,,1,MSFT
floatShares,,1,MSFT
sharesOutstanding,,1,MSFT
sharesShort,,1,MSFT
sharesShortPriorMonth,,1,MSFT
sharesShortPreviousMonthDate,,1,MSFT
dateShortInterest,,1,MSFT
sharesPercentSharesOut,,1,MSFT
heldPercentInsiders,,1,MSFT
heldPercentInstitutions,,1,MSFT
shortRatio,,1,MSFT
shortPercentOfFloat,,1,MSFT
impliedSharesOutstanding,,1,MSFT
bookValue,,1,MSFT
priceToBook,,1,MSFT
lastFiscalYearEnd,,1,MSFT
nextFiscalYearEnd,,1,MSFT
mostRecentQuarter,,1,MSFT
earningsQuarterlyGrowth,,1,MSFT
netIncomeToCommon,,1,MSFT
trailingEps,,1,MSFT
forwardEps,,1,MSFT
pegRatio,,1,MSFT
lastSplitFactor,,1,MSFT
lastSplitDate,,1,MSFT
enterpriseToRevenue,,1,MSFT
enterpriseToEbitda,,1,MSFT
52WeekChange,,1,MSFT
SandP52WeekChange,,1,MSFT
lastDividendValue,,1,MSFT
lastDividendDate,,1,MSFT
exchange,v,1,MSFT
quoteType,,1,MSFT
symbol,v,1,MSFT
underlyingSymbol,,1,MSFT
shortName,,1,MSFT
longName,,1,MSFT
firstTradeDateEpochUtc,,1,MSFT
timeZoneFullName,,1,MSFT
timeZoneShortName,,1,MSFT
uuid,v,1,MSFT
messageBoardId,v,1,MSFT
gmtOffSetMilliseconds,,1,MSFT
currentPrice,,1,MSFT
targetHighPrice,,1,MSFT
targetLowPrice,,1,MSFT
targetMeanPrice,,1,MSFT
targetMedianPrice,,1,MSFT
recommendationMean,,1,MSFT
recommendationKey,,1,MSFT
numberOfAnalystOpinions,,1,MSFT
totalCash,,1,MSFT
totalCashPerShare,,1,MSFT
ebitda,,1,MSFT
totalDebt,,1,MSFT
quickRatio,,1,MSFT
currentRatio,,1,MSFT
totalRevenue,,1,MSFT
debtToEquity,,1,MSFT
revenuePerShare,,1,MSFT
returnOnAssets,,1,MSFT
returnOnEquity,,1,MSFT
freeCashflow,,1,MSFT
operatingCashflow,,1,MSFT
earningsGrowth,,1,MSFT
revenueGrowth,,1,MSFT
grossMargins,,1,MSFT
ebitdaMargins,,1,MSFT
operatingMargins,,1,MSFT
financialCurrency,,1,MSFT
trailingPegRatio,,1,MSFT
fax,,15,APG1L.VS|AUG1L.VS|INC1L.VS|INR1L.VS|KNR1L.VS|NTU1L.VS|PTR1L.VS|PZV1L.VS|RSU1L.VS|SAB1L.VS|SNG1L.VS|TEL1L.VS|UTR1L.VS|VLP1L.VS|ZMP1L.VS
address2,,3,AUG1L.VS|GRG1L.VS|VBL1L.VS
yield,,,
totalAssets,,,
navPrice,,,
ytdReturn,,,
beta3Year,,,
fundFamily,,,
fundInceptionDate,,,
legalType,,,
threeYearAverageReturn,,,
fiveYearAverageReturn,,,
category,,,
grossProfits,,,
address3,,,
annualHoldingsTurnover,,,
expireDate,,,
morningStarOverallRating,,,
morningStarRiskRating,,,
